gDBWS - Graphic data export Powder v3.beta  -  21/12/00 10:40:00 AM
2 theta,   I obs,    I calc,  I obs - I calc 
 15.0     609.0      286.0      323.0  
 15.02    612.0      286.0      326.0  
 15.04    673.0      286.0      387.0  
 15.06    619.0      286.0      333.0  
 15.08    627.0      286.0      341.0  
 15.1     609.0      285.0      324.0  
 15.12    549.0      285.0      264.0  
 15.14    635.0      285.0      350.0  
 15.16    649.0      285.0      364.0  
 15.18    627.0      285.0      342.0  
 15.2     569.0      285.0      284.0  
 15.22    602.0      285.0      317.0  
 15.24    591.0      284.0      307.0  
 15.26    614.0      284.0      330.0  
 15.28    598.0      284.0      314.0  
 15.3     600.0      284.0      316.0  
 15.32    581.0      284.0      297.0  
 15.34    596.0      284.0      312.0  
 15.36    588.0      283.0      305.0  
 15.38    601.0      283.0      318.0  
 15.4     606.0      283.0      323.0  
 15.42    633.0      283.0      350.0  
 15.44    614.0      283.0      331.0  
 15.46    598.0      283.0      315.0  
 15.48    624.0      283.0      341.0  
 15.5     626.0      282.0      344.0  
 15.52    598.0      282.0      316.0  
 15.54    539.0      282.0      257.0  
 15.56    574.0      282.0      292.0  
 15.58    562.0      282.0      280.0  
 15.6     612.0      282.0      330.0  
 15.62    620.0      281.0      339.0  
 15.64    583.0      281.0      302.0  
 15.66    589.0      281.0      308.0  
 15.68    555.0      281.0      274.0  
 15.7     580.0      281.0      299.0  
 15.72    599.0      281.0      318.0  
 15.74    551.0      281.0      270.0  
 15.76    614.0      280.0      334.0  
 15.78    588.0      280.0      308.0  
 15.8     578.0      280.0      298.0  
 15.82    587.0      280.0      307.0  
 15.84    617.0      280.0      337.0  
 15.86    594.0      280.0      314.0  
 15.88    612.0      279.0      333.0  
 15.9     660.0      279.0      381.0  
 15.92    569.0      279.0      290.0  
 15.94    546.0      279.0      267.0  
 15.96    603.0      279.0      324.0  
 15.98    591.0      279.0      312.0  
 16.0     562.0      279.0      283.0  
 16.02    566.0      278.0      288.0  
 16.04    543.0      278.0      265.0  
 16.06    581.0      278.0      303.0  
 16.08    578.0      278.0      300.0  
 16.1     562.0      278.0      284.0  
 16.12    630.0      278.0      352.0  
 16.14    562.0      278.0      284.0  
 16.16    568.0      277.0      291.0  
 16.18    562.0      277.0      285.0  
 16.2     566.0      277.0      289.0  
 16.22    584.0      277.0      307.0  
 16.24    555.0      277.0      278.0  
 16.26    637.0      277.0      360.0  
 16.28    566.0      276.0      290.0  
 16.3     590.0      276.0      314.0  
 16.32    544.0      276.0      268.0  
 16.34    575.0      276.0      299.0  
 16.36    534.0      276.0      258.0  
 16.38    563.0      276.0      287.0  
 16.4     557.0      276.0      281.0  
 16.42    588.0      275.0      313.0  
 16.44    566.0      275.0      291.0  
 16.46    572.0      275.0      297.0  
 16.48    580.0      275.0      305.0  
 16.5     609.0      275.0      334.0  
 16.52    566.0      275.0      291.0  
 16.54    553.0      274.0      279.0  
 16.56    585.0      274.0      311.0  
 16.58    573.0      274.0      299.0  
 16.6     540.0      274.0      266.0  
 16.62    564.0      274.0      290.0  
 16.64    583.0      274.0      309.0  
 16.66    589.0      274.0      315.0  
 16.68    622.0      273.0      349.0  
 16.7     628.0      273.0      355.0  
 16.72    652.0      273.0      379.0  
 16.74    649.0      273.0      376.0  
 16.76    827.0      273.0      554.0  
 16.78    950.0      273.0      677.0  
 16.8     1138.0     273.0      865.0  
 16.82    1354.0     272.0      82.0   
 16.84    1264.0     272.0      992.0  
 16.86    1129.0     272.0      857.0  
 16.88    864.0      272.0      592.0  
 16.9     710.0      272.0      438.0  
 16.92    616.0      272.0      344.0  
 16.94    581.0      271.0      310.0  
 16.96    568.0      271.0      297.0  
 16.98    531.0      271.0      260.0  
 17.0     528.0      271.0      257.0  
 17.02    519.0      271.0      248.0  
 17.04    526.0      271.0      255.0  
 17.06    536.0      271.0      265.0  
 17.08    525.0      270.0      255.0  
 17.1     540.0      270.0      270.0  
 17.12    564.0      270.0      294.0  
 17.14    529.0      270.0      259.0  
 17.16    513.0      270.0      243.0  
 17.18    543.0      270.0      273.0  
 17.2     479.0      270.0      209.0  
 17.22    518.0      269.0      249.0  
 17.24    496.0      269.0      227.0  
 17.26    540.0      269.0      271.0  
 17.28    543.0      269.0      274.0  
 17.3     518.0      269.0      249.0  
 17.32    495.0      269.0      226.0  
 17.34    494.0      269.0      225.0  
 17.36    537.0      268.0      269.0  
 17.38    486.0      268.0      218.0  
 17.4     516.0      268.0      248.0  
 17.42    454.0      268.0      186.0  
 17.44    503.0      268.0      235.0  
 17.46    526.0      268.0      258.0  
 17.48    470.0      267.0      203.0  
