  Powder 4.008/08/2022 23:04:00                                                  
  WAVELENGTH 1.54056
  SPACE GROUP : R 3 C                               
 A=  5.5080      B=  5.5080      C= 13.3710
 ALPHA= 90.000   BETA= 90.000    GAMMA=120.000
 TOTAL NUMBER OF HKL :   101
    H   K   L  MULT   d(A)    2-theta(°)
    0   1   2   6    3.8830    22.884
    1   1   0   6    2.7540    32.485
    1   0   4   6    2.7375    32.686
    1   1   3   6    2.3428    38.391
    1   1  -3   6    2.3428    38.391
    2   0   2   6    2.2464    40.108
    0   0   6   2    2.2285    40.444
    0   2   4   6    1.9415    46.751
    1   2  -1   6    1.7867    51.077
    2   1   1   6    1.7867    51.077
    2   1  -2   6    1.7407    52.529
    1   2   2   6    1.7407    52.529
    1   1   6   6    1.7324    52.802
    1   1  -6   6    1.7324    52.802
    3   0   0   6    1.5900    57.954
    1   2  -4   6    1.5868    58.082
    2   1   4   6    1.5868    58.082
    0   1   8   6    1.5774    58.464
    2   1  -5   6    1.4949    62.033
    1   2   5   6    1.4949    62.033
    2   2   0   6    1.3770    68.029
    2   0   8   6    1.3687    68.496
    1   3   1   6    1.3166    71.619
    3   1  -1   6    1.3166    71.619
    2   2  -3   6    1.3156    71.676
    2   2   3   6    1.3156    71.676
    2   1   7   6    1.3111    71.961
    1   2  -7   6    1.3111    71.961
    1   1   9   6    1.3075    72.189
    1   1  -9   6    1.3075    72.189
    1   3  -2   6    1.2978    72.817
    3   1   2   6    1.2978    72.817
    0   3   6   6    1.2943    73.044
    3   0   6   6    1.2943    73.044
    1   0  10   6    1.2875    73.497
    3   1  -4   6    1.2301    77.539
    1   3   4   6    1.2301    77.539
    2   1  -8   6    1.2257    77.872
    1   2   8   6    1.2257    77.872
    3   1   5   6    1.1858    81.023
    1   3  -5   6    1.1858    81.023
    0   4   2   6    1.1740    82.012
    2   2  -6   6    1.1714    82.231
    2   2   6   6    1.1714    82.231
    0   2  10   6    1.1663    82.669
    4   0   4   6    1.1232    86.600
    0   0  12   2    1.1143    87.469
    2   3  -1   6    1.0907    89.862
    3   2   1   6    1.0907    89.862
    3   1  -7   6    1.0876    90.188
    1   3   7   6    1.0876    90.188
    3   2  -2   6    1.0800    91.003
    2   3   2   6    1.0800    91.003
    2   1  10   6    1.0740    91.654
    1   2 -10   6    1.0740    91.654
    4   1   0   6    1.0409    95.467
    1   4   0   6    1.0409    95.467
    2   3  -4   6    1.0400    95.576
    3   2   4   6    1.0400    95.576
    3   1   8   6    1.0373    95.903
    1   3  -8   6    1.0373    95.903
    1   1  12   6    1.0329    96.448
    1   1 -12   6    1.0329    96.448
    4   1   3   6    1.0136    98.917
    1   4  -3   6    1.0136    98.917
    1   4   3   6    1.0136    98.917
    4   1  -3   6    1.0136    98.917
    2   3   5   6    1.0128    99.027
    3   2  -5   6    1.0128    99.027
    2   2   9   6    1.0099    99.412
    2   2  -9   6    1.0099    99.412
    2   1 -11   6    1.0079    99.687
    1   2  11   6    1.0079    99.687
    0   4   8   6    0.9708   105.029
    2   3  -7   6    0.9495   108.434
    3   2   7   6    0.9495   108.434
    5   0   2   6    0.9444   109.295
    1   4   6   6    0.9431   109.526
    1   4  -6   6    0.9431   109.526
    4   1   6   6    0.9431   109.526
    4   1  -6   6    0.9431   109.526
    3   1 -10   6    0.9404   109.987
    1   3  10   6    0.9404   109.987
    0   1  14   6    0.9365   110.681
    3   3   0   6    0.9180   114.092
    0   5   4   6    0.9174   114.211
    3   2  -8   6    0.9155   114.568
    2   3   8   6    0.9155   114.568
    0   3  12   6    0.9125   115.166
    3   0  12   6    0.9125   115.166
    2   4   1   6    0.8994   117.839
    4   2  -1   6    0.8994   117.839
    3   3  -3   6    0.8991   117.901
    3   3   3   6    0.8991   117.901
    1   3 -11   6    0.8951   118.763
    3   1  11   6    0.8951   118.763
    2   1  13   6    0.8934   119.135
    1   2 -13   6    0.8934   119.135
    2   4  -2   6    0.8934   119.137
    4   2   2   6    0.8934   119.137
    4   0  10   6    0.8900   119.885
