 Pd/N/H/Cr/O                                                                     
  WAVELENGTH 1.54056
  SPACE GROUP : P 21/C                              
 A=  7.7701      B= 11.5770      C= 11.8509
 ALPHA= 90.000   BETA=105.501    GAMMA= 90.000
 TOTAL NUMBER OF HKL :   829
    H   K   L  MULT   d(A)    2-theta(°)
    0   1   1   4    8.1300    10.874
    1   0   0   2    7.4875    11.810
    1   1   0   4    6.2871    14.075
    1   1  -1   4    6.1181    14.466
    0   2   0   2    5.7885    15.295
    0   0   2   2    5.7099    15.506
    1   0  -2   2    5.2700    16.810
    0   2   1   4    5.1631    17.160
    0   1   2   4    5.1209    17.303
    1   1   1   4    5.0496    17.549
    1   1  -2   4    4.7964    18.483
    1   2   0   4    4.5795    19.367
    1   2  -1   4    4.5130    19.655
    0   2   2   4    4.0650    21.847
    1   0   2   2    4.0485    21.937
    1   2   1   4    4.0291    22.044
    1   2  -2   4    3.8969    22.802
    1   1   2   4    3.8216    23.257
    2   0   0   2    3.7437    23.748
    2   1  -1   4    3.6767    24.187
    0   3   1   4    3.6559    24.327
    1   1  -3   4    3.6380    24.448
    0   1   3   4    3.6161    24.598
    2   0  -2   2    3.6034    24.687
    2   1   0   4    3.5621    24.978
    2   1  -2   4    3.4406    25.875
    1   3   0   4    3.4302    25.954
    1   3  -1   4    3.4020    26.174
    1   2   2   4    3.3176    26.852
    2   2  -1   4    3.2215    27.669
    0   3   2   4    3.1973    27.882
    1   2  -3   4    3.1954    27.899
    0   2   3   4    3.1805    28.032
    1   3   1   4    3.1797    28.039
    2   1   1   4    3.1785    28.050
    2   2   0   4    3.1436    28.368
    1   3  -2   4    3.1135    28.648
    2   2  -2   4    3.0591    29.169
    2   1  -3   4    3.0108    29.647
    1   1   3   4    2.9740    30.023
    1   0  -4   2    2.9422    30.355
    0   4   0   2    2.8942    30.870
    2   2   1   4    2.8705    31.133
    0   0   4   2    2.8550    31.306
    1   1  -4   4    2.8515    31.345
    2   0   2   2    2.8058    31.869
    0   4   1   4    2.8055    31.872
    1   3   2   4    2.7933    32.015
    0   1   4   4    2.7719    32.269
    2   2  -3   4    2.7452    32.592
    2   3  -1   4    2.7352    32.714
    2   1   2   4    2.7268    32.818
    1   3  -3   4    2.7192    32.913
    1   2   3   4    2.7172    32.938
    0   3   3   4    2.7100    33.027
    1   4   0   4    2.6996    33.158
    2   3   0   4    2.6870    33.318
    1   4  -1   4    2.6858    33.334
    2   0  -4   2    2.6350    33.996
    2   3  -2   4    2.6337    34.013
    1   2  -4   4    2.6228    34.158
    0   4   2   4    2.5816    34.721
    1   4   1   4    2.5723    34.851
    2   1  -4   4    2.5693    34.893
    0   2   4   4    2.5605    35.017
    3   0  -2   2    2.5507    35.155
    1   4  -2   4    2.5368    35.353
    2   2   2   4    2.5248    35.527
    3   1  -1   4    2.5245    35.532
    2   3   1   4    2.5105    35.737
    3   0   0   2    2.4958    35.954
    3   1  -2   4    2.4910    36.026
    1   0   4   2    2.4579    36.528
    3   1   0   4    2.4398    36.809
    2   3  -3   4    2.4253    37.037
    1   3   3   4    2.4060    37.346
    1   1   4   4    2.4043    37.372
    2   2  -4   4    2.3982    37.471
    3   2  -1   4    2.3617    38.073
    1   4   2   4    2.3545    38.194
    3   1  -3   4    2.3521    38.233
    1   3  -4   4    2.3397    38.444
    3   2  -2   4    2.3341    38.539
    2   1   3   4    2.3229    38.733
    1   1  -5   4    2.3203    38.778
    2   4  -1   4    2.3194    38.795
    1   4  -3   4    2.3096    38.966
    0   4   3   4    2.3039    39.065
    0   3   4   4    2.2951    39.221
    3   2   0   4    2.2919    39.279
    2   4   0   4    2.2898    39.316
    2   3   2   4    2.2694    39.685
    0   5   1   4    2.2692    39.687
    3   1   1   4    2.2679    39.711
    1   2   4   4    2.2624    39.812
    2   4  -2   4    2.2565    39.921
    0   1   5   4    2.2408    40.213
    3   2  -3   4    2.2188    40.629
    1   5   0   4    2.2120    40.758
    1   5  -1   4    2.2044    40.905
    2   2   3   4    2.1942    41.105
    2   1  -5   4    2.1927    41.135
    1   2  -5   4    2.1920    41.148
    3   0  -4   2    2.1915    41.157
    2   4   1   4    2.1775    41.434
    2   3  -4   4    2.1761    41.462
    3   1  -4   4    2.1533    41.922
    3   3  -1   4    2.1487    42.016
    3   2   1   4    2.1477    42.037
    0   5   2   4    2.1457    42.077
    1   5   1   4    2.1404    42.187
    3   3  -2   4    2.1279    42.446
    0   2   5   4    2.1246    42.516
    2   4  -3   4    2.1213    42.585
    1   5  -2   4    2.1198    42.616
    1   4   3   4    2.1083    42.861
    3   3   0   4    2.0957    43.130
    3   0   2   2    2.0910    43.233
    2   2  -5   4    2.0834    43.398
    1   3   4   4    2.0731    43.625
    1   4  -4   4    2.0633    43.843
    3   1   2   4    2.0577    43.968
    3   2  -4   4    2.0496    44.152
    3   3  -3   4    2.0394    44.384
    0   4   4   4    2.0325    44.542
    2   0   4   2    2.0242    44.734
    2   3   3   4    2.0202    44.828
    1   3  -5   4    2.0185    44.867
    2   4   2   4    2.0145    44.961
    1   5   2   4    2.0099    45.070
    1   1   5   4    2.0070    45.139
    2   1   4   4    1.9940    45.450
    2   5  -1   4    1.9879    45.597
    3   3   1   4    1.9838    45.698
    1   5  -3   4    1.9818    45.747
    0   5   3   4    1.9782    45.834
    1   0  -6   2    1.9750    45.913
    2   5   0   4    1.9692    46.055
    3   2   2   4    1.9666    46.119
    0   3   5   4    1.9655    46.147
    2   4  -4   4    1.9484    46.575
    2   5  -2   4    1.9479    46.588
    1   1  -6   4    1.9468    46.615
    3   1  -5   4    1.9392    46.810
    4   0  -2   2    1.9387    46.823
    2   3  -5   4    1.9328    46.974
    0   6   0   2    1.9295    47.059
    3   4  -1   4    1.9287    47.080
    1   2   5   4    1.9222    47.248
    2   0  -6   2    1.9161    47.409
    3   4  -2   4    1.9136    47.474
    4   1  -2   4    1.9121    47.514
    2   2   4   4    1.9108    47.548
    3   3  -4   4    1.9057    47.684
    4   1  -1   4    1.9051    47.699
    0   0   6   2    1.9033    47.747
    0   6   1   4    1.9025    47.767
    2   5   1   4    1.8964    47.930
    2   1  -6   4    1.8904    48.095
    3   4   0   4    1.8901    48.101
    0   1   6   4    1.8781    48.429
    1   4   4   4    1.8735    48.556
    4   0   0   2    1.8719    48.600
    1   2  -6   4    1.8692    48.675
    1   6   0   4    1.8685    48.694
    4   1  -3   4    1.8671    48.732
    1   6  -1   4    1.8639    48.823
    3   2  -5   4    1.8624    48.864
    2   5  -3   4    1.8589    48.960
    1   5   3   4    1.8502    49.208
    3   4  -3   4    1.8485    49.256
    4   1   0   4    1.8479    49.273
    3   1   3   4    1.8466    49.310
    3   3   2   4    1.8385    49.542
    4   2  -2   4    1.8383    49.546
    2   4   3   4    1.8342    49.665
    1   4  -5   4    1.8329    49.702
    4   2  -1   4    1.8321    49.724
    0   6   2   4    1.8280    49.846
    1   6   1   4    1.8246    49.942
    1   5  -4   4    1.8195    50.092
    2   2  -6   4    1.8190    50.108
    1   6  -2   4    1.8119    50.319
    0   2   6   4    1.8081    50.432
    3   4   1   4    1.8068    50.471
    1   3   5   4    1.8020    50.613
    4   0  -4   2    1.8017    50.624
    0   5   4   4    1.7983    50.725
    4   2  -3   4    1.7983    50.727
    0   4   5   4    1.7929    50.888
    2   3   4   4    1.7926    50.899
    2   5   2   4    1.7858    51.105
    4   2   0   4    1.7811    51.252
    4   1  -4   4    1.7803    51.277
    3   2   3   4    1.7799    51.288
    2   4  -5   4    1.7680    51.658
    1   3  -6   4    1.7581    51.971
    3   0  -6   2    1.7567    52.017
    4   1   1   4    1.7527    52.144
    3   3  -5   4    1.7524    52.151
    3   4  -4   4    1.7472    52.321
    1   6   2   4    1.7418    52.494
    2   5  -4   4    1.7393    52.575
    1   0   6   2    1.7371    52.647
    3   1  -6   4    1.7368    52.658
    2   1   5   4    1.7329    52.786
    4   3  -2   4    1.7324    52.802
    2   6  -1   4    1.7274    52.965
    4   3  -1   4    1.7272    52.973
    3   5  -1   4    1.7252    53.038
    1   6  -3   4    1.7234    53.099
    0   6   3   4    1.7210    53.177
    4   2  -4   4    1.7203    53.202
    1   1   6   4    1.7179    53.282
    2   3  -6   4    1.7162    53.340
    2   6   0   4    1.7151    53.375
    3   5  -2   4    1.7144    53.399
    0   3   6   4    1.7070    53.650
    2   6  -2   4    1.7010    53.854
    4   3  -3   4    1.6987    53.932
    3   5   0   4    1.6974    53.976
    4   2   1   4    1.6954    54.047
    3   4   2   4    1.6949    54.062
    1   5   4   4    1.6854    54.394
    4   3   0   4    1.6842    54.435
    3   3   3   4    1.6832    54.470
    3   2  -6   4    1.6810    54.549
    2   2   5   4    1.6774    54.674
    1   1  -7   4    1.6730    54.829
    3   0   4   2    1.6708    54.909
    4   1  -5   4    1.6677    55.017
    3   5  -3   4    1.6671    55.041
    2   6   1   4    1.6664    55.066
    1   4   5   4    1.6663    55.070
    1   2   6   4    1.6638    55.158
    2   4   4   4    1.6588    55.339
    2   5   3   4    1.6566    55.420
    1   5  -5   4    1.6556    55.454
    3   1   4   4    1.6536    55.527
    4   0   2   2    1.6528    55.558
    2   1  -7   4    1.6506    55.636
    2   6  -3   4    1.6408    56.001
    0   7   1   4    1.6368    56.149
    3   5   1   4    1.6363    56.167
    4   1   2   4    1.6362    56.171
    1   6   3   4    1.6347    56.226
    4   3  -4   4    1.6325    56.308
    1   4  -6   4    1.6313    56.353
    3   4  -5   4    1.6268    56.523
    0   5   5   4    1.6260    56.554
    1   2  -7   4    1.6230    56.670
    4   2  -5   4    1.6181    56.854
    0   1   7   4    1.6154    56.958
    1   7   0   4    1.6149    56.978
    1   6  -4   4    1.6135    57.033
    1   7  -1   4    1.6120    57.092
    4   3   1   4    1.6112    57.122
    4   4  -2   4    1.6107    57.140
    2   5  -5   4    1.6073    57.272
    4   4  -1   4    1.6066    57.302
    3   2   4   4    1.6052    57.354
    2   2  -7   4    1.6025    57.461
    3   3  -6   4    1.5988    57.606
    0   6   4   4    1.5986    57.612
    2   4  -6   4    1.5977    57.650
    2   3   5   4    1.5957    57.727
    3   5  -4   4    1.5916    57.890
    0   4   6   4    1.5903    57.945
    2   6   2   4    1.5898    57.961
    4   2   2   4    1.5893    57.985
    0   7   2   4    1.5886    58.012
    1   7   1   4    1.5864    58.099
    1   3   6   4    1.5840    58.194
    4   4  -3   4    1.5836    58.213
    1   7  -2   4    1.5780    58.439
    4   4   0   4    1.5718    58.692
    3   4   3   4    1.5710    58.724
    0   2   7   4    1.5702    58.755
    4   0  -6   2    1.5590    59.219
    3   1  -7   4    1.5571    59.301
    2   6  -4   4    1.5568    59.315
    5   0  -2   2    1.5540    59.430
    3   5   2   4    1.5518    59.521
    1   3  -7   4    1.5486    59.657
    3   6  -1   4    1.5466    59.743
    4   1  -6   4    1.5451    59.807
    4   3  -5   4    1.5445    59.835
    5   1  -2   4    1.5402    60.018
    3   6  -2   4    1.5388    60.077
    2   0   6   2    1.5386    60.085
    3   3   4   4    1.5332    60.318
    1   7   2   4    1.5310    60.414
    2   3  -7   4    1.5308    60.422
    1   5   5   4    1.5298    60.470
    4   4  -4   4    1.5295    60.479
    5   1  -3   4    1.5274    60.572
    3   6   0   4    1.5265    60.611
    5   1  -1   4    1.5253    60.663
    2   1   6   4    1.5252    60.669
    2   5   4   4    1.5240    60.723
    2   7  -1   4    1.5213    60.843
    4   3   2   4    1.5193    60.930
    1   7  -3   4    1.5185    60.966
    1   6   4   4    1.5177    61.000
    0   7   3   4    1.5169    61.037
    3   2  -7   4    1.5165    61.055
