                                                                                 
  WAVELENGTH 1.54056
  SPACE GROUP : f d 3 m                             
 A= 10.1920      B= 10.1920      C= 10.1920
 ALPHA= 90.000   BETA= 90.000    GAMMA= 90.000
 TOTAL NUMBER OF HKL :   119
    H   K   L  MULT   d(A)    2-theta(°)
    1   0   0   6   10.1920     8.669
    1   1   0  12    7.2068    12.272
    1   1   1   8    5.8844    15.044
    2   0   0   6    5.0960    17.388
    2   1   0  24    4.5580    19.459
    2   1   1  24    4.1609    21.337
    2   2   0  12    3.6034    24.687
    3   0   0   6    3.3973    26.210
    2   2   1  24    3.3973    26.210
    3   1   0  24    3.2230    27.655
    3   1   1  24    3.0730    29.034
    2   2   2   8    2.9422    30.355
    3   2   0  24    2.8268    31.627
    3   2   1  48    2.7239    32.854
    4   0   0   6    2.5480    35.193
    4   1   0  24    2.4719    36.314
    3   2   2  24    2.4719    36.314
    3   3   0  12    2.4023    37.405
    4   1   1  24    2.4023    37.405
    3   3   1  24    2.3382    38.470
    4   2   0  24    2.2790    39.510
    4   2   1  48    2.2241    40.528
    3   3   2  24    2.1729    41.525
    4   2   2  24    2.0804    43.463
    5   0   0   6    2.0384    44.407
    4   3   0  24    2.0384    44.407
    5   1   0  24    1.9988    45.334
    4   3   1  48    1.9988    45.334
    5   1   1  24    1.9615    46.248
    3   3   3   8    1.9615    46.248
    4   3   2  48    1.8926    48.034
    5   2   0  24    1.8926    48.034
    5   2   1  48    1.8608    48.908
    4   4   0  12    1.8017    50.623
    5   2   2  24    1.7742    51.465
    4   4   1  24    1.7742    51.465
    5   3   0  24    1.7479    52.297
    4   3   3  24    1.7479    52.297
    5   3   1  48    1.7228    53.119
    6   0   0   6    1.6987    53.933
    4   4   2  24    1.6987    53.933
    6   1   0  24    1.6756    54.739
    5   3   2  48    1.6534    55.537
    6   1   1  24    1.6534    55.537
    6   2   0  24    1.6115    57.110
    5   4   0  24    1.5917    57.886
    6   2   1  48    1.5917    57.886
    4   4   3  24    1.5917    57.886
    5   4   1  48    1.5727    58.656
    5   3   3  24    1.5543    59.419
    6   2   2  24    1.5365    60.177
    6   3   0  24    1.5193    60.928
    5   4   2  48    1.5193    60.928
    6   3   1  48    1.5027    61.674
    4   4   4   8    1.4711    63.152
    6   3   2  48    1.4560    63.883
    7   0   0   6    1.4560    63.883
    5   5   0  12    1.4414    64.610
    5   4   3  48    1.4414    64.610
    7   1   0  24    1.4414    64.610
    5   5   1  24    1.4272    65.332
    7   1   1  24    1.4272    65.332
    6   4   0  24    1.4134    66.050
    7   2   0  24    1.4000    66.765
    6   4   1  48    1.4000    66.765
    5   5   2  24    1.3870    67.475
    7   2   1  48    1.3870    67.475
    6   3   3  24    1.3870    67.475
    6   4   2  48    1.3620    68.885
    7   2   2  24    1.3500    69.585
    5   4   4  24    1.3500    69.585
    7   3   0  24    1.3383    70.282
    7   3   1  48    1.3269    70.976
    5   5   3  24    1.3269    70.976
    6   4   3  48    1.3050    72.355
    6   5   0  24    1.3050    72.355
    6   5   1  48    1.2944    73.041
    7   3   2  48    1.2944    73.041
    8   0   0   6    1.2740    74.405
    7   4   0  24    1.2642    75.083
    6   5   2  48    1.2642    75.083
    8   1   0  24    1.2642    75.083
    8   1   1  24    1.2545    75.759
    7   4   1  48    1.2545    75.759
    5   5   4  24    1.2545    75.759
    7   3   3  24    1.2452    76.434
    6   4   4  24    1.2360    77.106
    8   2   0  24    1.2360    77.106
    7   4   2  48    1.2270    77.777
    8   2   1  48    1.2270    77.777
    6   5   3  48    1.2182    78.446
    8   2   2  24    1.2011    79.779
    6   6   0  12    1.2011    79.779
    8   3   0  24    1.1929    80.443
    6   6   1  24    1.1929    80.443
    8   3   1  48    1.1848    81.106
    7   5   0  24    1.1848    81.106
    7   4   3  48    1.1848    81.106
    7   5   1  48    1.1769    81.768
    5   5   5   8    1.1769    81.768
    6   6   2  24    1.1691    82.429
    6   5   4  48    1.1615    83.089
    8   3   2  48    1.1615    83.089
    7   5   2  48    1.1540    83.748
    8   4   0  24    1.1395    85.063
    7   4   4  24    1.1324    85.720
    9   0   0   6    1.1324    85.720
    8   4   1  48    1.1324    85.720
    6   6   3  24    1.1324    85.720
    9   1   0  24    1.1255    86.376
    8   3   3  24    1.1255    86.376
    9   1   1  24    1.1187    87.032
    7   5   3  48    1.1187    87.032
    8   4   2  48    1.1120    87.687
    9   2   0  24    1.1055    88.342
    7   6   0  24    1.1055    88.342
    7   6   1  48    1.0990    88.997
    9   2   1  48    1.0990    88.997
    6   5   5  24    1.0990    88.997
